rechargeTypeId;version;rechargeType;rechargeTypeDesc;rechargeAssessmentReq;taxCode;validFrom;validTo;comment
RT001;"001";POSTPAID;POSTPAID Recharge 1;false;TX001;2025-01-01;2025-12-31;This postpaid recharge plan is tailored for regular mobile users. It includes flexible billing, unlimited calls, and attractive data packs. Ideal for users looking for consistency and reliability.
RT002;"002";DATA;DATA Recharge 2;true;TX002;2025-01-01;2025-12-31;A comprehensive data plan perfect for heavy internet users. With high-speed data and bonus packs, you can stream, browse, and game without worries. Includes night data bonuses and top-up options.
RT003;"003";INTERNATIONAL;INTERNATIONAL Recharge 3;false;TX003;2025-01-01;2025-12-31;Designed for international travelers, this plan offers cost-effective data and call rates abroad. Roam in multiple countries without switching SIMs. Includes support in native languages.
RT004;"004";ROAMING;ROAMING Recharge 4;true;TX004;2025-01-01;2025-12-31;This roaming recharge enables seamless communication while you travel across regions. Enjoy free incoming calls, discounted data, and fast activation. Reliable coverage in domestic and cross-border zones.
RT005;"005";PREPAID;PREPAID Recharge 5;false;TX005;2025-01-01;2025-12-31;A simple and affordable prepaid plan with no hidden charges. Choose from daily, weekly, or monthly packs. Recharge on the go and enjoy uninterrupted services with instant activation and auto-renewal.
RT006;"006";POSTPAID;POSTPAID Recharge 6;true;TX006;2025-01-01;2025-12-31;This postpaid recharge plan is tailored for regular mobile users. It includes flexible billing, unlimited calls, and attractive data packs. Ideal for users looking for consistency and reliability.
RT007;"007";DATA;DATA Recharge 7;false;TX007;2025-01-01;2025-12-31;A comprehensive data plan perfect for heavy internet users. With high-speed data and bonus packs, you can stream, browse, and game without worries. Includes night data bonuses and top-up options.
RT008;"008";INTERNATIONAL;INTERNATIONAL Recharge 8;true;TX008;2025-01-01;2025-12-31;Designed for international travelers, this plan offers cost-effective data and call rates abroad. Roam in multiple countries without switching SIMs. Includes support in native languages.
RT009;"009";ROAMING;ROAMING Recharge 9;false;TX009;2025-01-01;2025-12-31;This roaming recharge enables seamless communication while you travel across regions. Enjoy free incoming calls, discounted data, and fast activation. Reliable coverage in domestic and cross-border zones.
RT010;"010";PREPAID;PREPAID Recharge 10;true;TX010;2025-01-01;2025-12-31;A simple and affordable prepaid plan with no hidden charges. Choose from daily, weekly, or monthly packs. Recharge on the go and enjoy uninterrupted services with instant activation and auto-renewal.
RT011;"011";POSTPAID;POSTPAID Recharge 11;false;TX011;2025-01-01;2025-12-31;This postpaid recharge plan is tailored for regular mobile users. It includes flexible billing, unlimited calls, and attractive data packs. Ideal for users looking for consistency and reliability.
